Work Item Id;Revision;Revised Date;Old Board Column;New Board Column;Tempo Na Coluna
117552;16;2024-02-01T12:14:29.067Z;Teste;Wait Release;1,0063687152777778
117552;20;2024-02-01T13:04:24.93Z;Wait Release;Aceite do usuário;0,03467434027777778
99217;4;2024-02-01T17:39:26.797Z;New;Refinamento;127,98084189814816
116407;8;2024-02-01T14:43:27.663Z;Para desenvolvimento;Em Desenvolvimento;7,7898129166666665
116407;13;2024-02-01T17:09:16.17Z;Em Desenvolvimento;PR;0,10125586805555555
118902;3;2024-02-01T17:51:44.603Z;New;Planejado;4,5949074074074074e-05
117554;10;2024-02-01T14:42:52.04Z;Em Desenvolvimento;PR;1,8124084143518517
117555;17;2024-02-01T12:19:09.067Z;Teste;Wait Release;1,0200536342592592
117555;19;2024-02-01T13:01:37.517Z;Wait Release;Aceite do usuário;0,02949594907407407
118904;4;2024-02-01T17:54:00.427Z;New;Wait release;0,00032118055555555556
118937;3;2024-02-01T20:10:30.57Z;Backlog;To do;2,7627314814814816e-05
114903;19;2024-02-01T12:18:00.51Z;Para teste;Teste;2,026380787037037
114903;21;2024-02-02T12:04:05.22Z;Teste;Wait Release;0,9903322916666667
118178;20;2024-02-02T12:05:39.663Z;PR;Para teste;2,704526273148148
116652;25;2024-02-02T12:05:43.117Z;Para teste;Teste;2,8596685185185184
116651;18;2024-02-02T12:05:37.74Z;Teste;Wait Release;2,0106099189814812
116828;10;2024-02-01T17:09:28.32Z;Para desenvolvimento;Em Desenvolvimento;12,923513425925927
22365;21;2024-02-01T10:58:18.907Z;Test;Desenv;7,904471145833334
24326;17;2024-02-01T11:51:15.77Z;Doing;To Test;0,9564479976851852
24326;18;2024-02-01T11:51:16.367Z;To Test;Test;6,909722222222222e-06
24537;3;2024-02-01T12:51:26.01Z;Backlog;Priorized;0,0016229166666666666
24537;5;2024-02-01T12:51:59.993Z;Priorized;Progress;0,0003933217592592592
25156;2;2024-02-01T13:12:53.227Z;Backlog;TODO;16,83767488425926
7089;4;2024-02-01T13:12:53.227Z;Backlog;TODO;0,0007880092592592593
7089;7;2024-02-01T13:19:41.21Z;TODO;Backlog;0,004722025462962963
7620;8;2024-02-01T13:19:56.61Z;Priorized;TODO;16,842684027777775
7620;10;2024-02-01T13:20:20.69Z;TODO;Priorized;0,0002787037037037037
8739;3;2024-02-01T13:20:22.827Z;Backlog;Priorized;22,751684305555557
8739;4;2024-02-01T13:20:23.147Z;Priorized;TODO;3,7037037037037037e-06
9598;40;2024-02-01T14:06:16.373Z;To Test;Test;1,0506617592592593
10705;43;2024-02-01T14:19:32.353Z;Test Integ;Closed;2,7165016550925927
10707;7;2024-02-01T03:03:12.253Z;Backlog Prod.;Test Integ;2,229719560185185
10707;9;2024-02-01T14:20:01.523Z;Test Integ;Closed;0,47001469907407406
24639;13;2024-02-01T14:21:55.213Z;Wait Refinement;Doing;2,111638310185185
29554;7;2024-02-01T14:22:21.24Z;Wait Refinement;Refinement;14,106369444444445
18000;27;2024-02-01T14:14:24.707Z;Test (Integ);Wait Deploy (Preprod);10,0309
21395;6;2024-02-01T14:17:15.24Z;Backlog;Priorized;22,780556018518517
21395;7;2024-02-01T14:17:15.753Z;Priorized;TODO;5,9375e-06
21395;10;2024-02-01T14:39:05.147Z;TODO;CodeReview;0,015155023148148148
22635;6;2024-02-01T14:39:18.27Z;Backlog;Priorized;22,79583576388889
22635;7;2024-02-01T14:39:18.717Z;Priorized;TODO;5,173611111111111e-06
25077;57;2024-02-01T15:01:40.147Z;Released;Closed;3,0430051736111112
25077;58;2024-02-01T15:01:40.76Z;Closed;Released;7,0949074074074075e-06
25078;28;2024-02-01T15:01:46.573Z;Released;Closed;3,043005474537037
25078;29;2024-02-01T15:01:47.03Z;Closed;Released;5,289351851851852e-06
25079;25;2024-02-01T15:01:51.783Z;Released;Closed;3,0430657754629626
25079;26;2024-02-01T15:01:52.397Z;Closed;Released;7,106481481481481e-06
25126;45;2024-02-01T15:01:56.167Z;Released;Closed;3,0411467592592594
25126;46;2024-02-01T15:01:56.743Z;Closed;Released;6,666666666666666e-06
25127;38;2024-02-01T15:02:02.32Z;Released;Closed;2,766808101851852
25127;39;2024-02-01T15:02:02.753Z;Closed;Released;5,011574074074074e-06
32950;41;2024-02-01T17:08:03.387Z;Backlog Dev.;Doing;1,1167560185185186
32951;4;2024-02-01T17:13:32.913Z;Backlog Prod.;Wait Refinement;14,837791967592592
33830;4;2024-02-01T17:12:06.897Z;Funnel;Next Business Refinement;8,127988738425925
33830;5;2024-02-01T17:12:07.36Z;Next Business Refinement;Waiting Refinement;5,358796296296297e-06
33830;8;2024-02-01T18:22:49.987Z;Waiting Refinement;Refinement;0,04910447916666667
33830;9;2024-02-01T18:22:50.543Z;Refinement;Doing;6,435185185185186e-06
31898;6;2024-02-01T19:18:54.017Z;Funnel;Doing;0,1993463425925926
31897;10;2024-02-01T13:39:06.87Z;To Refine;Development;6,895441319444444
31897;14;2024-02-01T19:15:18.417Z;Development;Code Review;0,23346697916666664
31897;17;2024-02-01T19:28:36.527Z;Code Review;To Test (Integ);0,00923738425925926
32844;7;2024-02-01T22:31:29.43Z;Discovery;in Dev;22,882237349537036
35101;6;2024-02-01T22:31:54.987Z;Discovery;in Dev;22,882594525462963
